data_pas;focos
2018-01-01;468
2018-01-02;2210
2018-01-03;1807
2018-01-04;1643
2018-01-05;1491
2018-01-06;654
2018-01-07;645
2018-01-08;1006
2018-01-09;673
2018-01-10;919
2018-01-11;1072
2018-01-12;1204
2018-01-13;1051
2018-01-14;925
2018-01-15;849
2018-01-16;1347
2018-01-17;1584
2018-01-18;1395
2018-01-19;1046
2018-01-20;1366
2018-01-21;897
2018-01-22;952
2018-01-23;1044
2018-01-24;1004
2018-01-25;551
2018-01-26;476
2018-01-27;471
2018-01-28;630
2018-01-29;782
2018-01-30;1186
2018-01-31;1152
2018-02-01;1386
2018-02-02;1033
2018-02-03;994
2018-02-04;1096
2018-02-05;1231
2018-02-06;1328
2018-02-07;1392
2018-02-08;1928
2018-02-09;1319
2018-02-10;403
2018-02-11;595
2018-02-12;351
2018-02-13;445
2018-02-14;428
2018-02-15;661
2018-02-16;687
2018-02-17;394
2018-02-18;473
2018-02-19;993
2018-02-20;995
2018-02-21;845
2018-02-22;818
2018-02-23;1185
2018-02-24;524
2018-02-25;767
2018-02-26;789
2018-02-27;1028
2018-02-28;846
2018-03-01;915
2018-03-02;980
2018-03-03;1165
2018-03-04;784
2018-03-05;1327
2018-03-06;1008
2018-03-07;599
2018-03-08;669
2018-03-09;812
2018-03-10;988
2018-03-11;1549
2018-03-12;1657
2018-03-13;1132
2018-03-14;1560
2018-03-15;1358
2018-03-16;851
2018-03-17;507
2018-03-18;2072
2018-03-19;2500
2018-03-20;2109
2018-03-21;1913
2018-03-22;1369
2018-03-23;4049
2018-03-24;3394
2018-03-25;757
2018-03-26;677
2018-03-27;926
2018-03-28;545
2018-03-29;569
2018-03-30;300
2018-03-31;920
2018-04-01;2779
2018-04-02;1886
2018-04-03;582
2018-04-04;554
2018-04-05;680
2018-04-06;485
2018-04-07;851
2018-04-08;834
2018-04-09;782
2018-04-10;655
2018-04-11;939
2018-04-12;838
2018-04-13;990
2018-04-14;1002
2018-04-15;250
2018-04-16;162
2018-04-17;286
2018-04-18;603
2018-04-19;691
2018-04-20;732
2018-04-21;637
2018-04-22;702
2018-04-23;525
2018-04-24;771
2018-04-25;713
2018-04-26;956
2018-04-27;891
2018-04-28;847
2018-04-29;803
2018-04-30;710
2018-05-01;1220
2018-05-02;1152
2018-05-03;1272
2018-05-04;1137
2018-05-05;716
2018-05-06;671
2018-05-07;958
2018-05-08;1420
2018-05-09;1440
2018-05-10;1844
2018-05-11;1268
2018-05-12;970
2018-05-13;494
2018-05-14;1141
2018-05-15;1242
2018-05-16;768
2018-05-17;975
2018-05-18;1062
2018-05-19;960
2018-05-20;401
2018-05-21;848
2018-05-22;1308
2018-05-23;1603
2018-05-24;1899
2018-05-25;2382
2018-05-26;2242
2018-05-27;1735
2018-05-28;2240
2018-05-29;2504
2018-05-30;2612
2018-05-31;2347
2018-06-01;2345
2018-06-02;1990
2018-06-03;925
2018-06-04;1251
2018-06-05;1684
2018-06-06;1544
2018-06-07;1375
2018-06-08;2159
2018-06-09;2313
2018-06-10;1643
2018-06-11;1792
2018-06-12;2405
2018-06-13;2523
2018-06-14;2390
2018-06-15;2277
2018-06-16;2464
2018-06-17;1558
2018-06-18;2158
2018-06-19;3040
2018-06-20;3050
2018-06-21;3455
2018-06-22;3305
2018-06-23;4061
2018-06-24;2554
2018-06-25;3171
2018-06-26;3459
2018-06-27;3412
2018-06-28;3760
2018-06-29;4308
2018-06-30;3555
2018-07-01;2943
2018-07-02;2922
2018-07-03;3670
2018-07-04;3491
2018-07-05;3959
2018-07-06;3788
2018-07-07;3826
2018-07-08;2997
2018-07-09;3802
2018-07-10;4339
2018-07-11;4243
2018-07-12;4392
2018-07-13;5355
2018-07-14;4151
2018-07-15;3738
2018-07-16;3584
2018-07-17;5228
2018-07-18;5409
2018-07-19;6007
2018-07-20;5361
2018-07-21;6661
2018-07-22;5412
2018-07-23;6565
2018-07-24;9000
2018-07-25;9259
2018-07-26;8762
2018-07-27;8306
2018-07-28;7672
2018-07-29;5505
2018-07-30;4833
2018-07-31;3542
2018-08-01;4059
2018-08-02;5347
2018-08-03;6594
2018-08-04;6031
2018-08-05;5127
2018-08-06;6077
2018-08-07;8385
2018-08-08;9029
2018-08-09;9465
2018-08-10;6561
2018-08-11;8172
2018-08-12;7506
2018-08-13;8781
2018-08-14;8355
2018-08-15;4110
2018-08-16;3481
2018-08-17;5121
2018-08-18;6936
2018-08-19;8024
2018-08-20;5929
2018-08-21;7598
2018-08-22;9685
2018-08-23;13640
2018-08-24;17377
2018-08-25;12768
2018-08-26;8587
2018-08-27;12779
2018-08-28;15333
2018-08-29;15836
2018-08-30;22979
2018-08-31;21457
2018-09-01;23441
2018-09-02;23074
2018-09-03;19234
2018-09-04;34332
2018-09-05;34484
2018-09-06;29245
2018-09-07;33577
2018-09-08;31705
2018-09-09;29310
2018-09-10;22368
2018-09-11;20317
2018-09-12;20800
2018-09-13;18273
2018-09-14;16416
2018-09-15;12430
2018-09-16;10259
2018-09-17;9770
2018-09-18;13500
2018-09-19;13405
2018-09-20;13666
2018-09-21;14406
2018-09-22;18176
2018-09-23;16363
2018-09-24;16356
2018-09-25;17233
2018-09-26;17652
2018-09-27;14686
2018-09-28;15495
2018-09-29;14804
2018-09-30;12289
2018-10-01;8846
2018-10-02;12216
2018-10-03;14634
2018-10-04;14898
2018-10-05;12762
2018-10-06;9496
2018-10-07;4765
2018-10-08;7635
2018-10-09;14729
2018-10-10;18776
2018-10-11;17256
2018-10-12;13396
2018-10-13;9486
2018-10-14;12497
2018-10-15;11349
2018-10-16;8107
2018-10-17;7922
2018-10-18;7302
2018-10-19;5754
2018-10-20;6462
2018-10-21;4160
2018-10-22;3889
2018-10-23;6365
2018-10-24;13634
2018-10-25;15146
2018-10-26;18977
2018-10-27;17880
2018-10-28;10978
2018-10-29;8804
2018-10-30;9379
2018-10-31;8194
2018-11-01;6959
2018-11-02;5937
2018-11-03;5364
2018-11-04;3489
2018-11-05;3023
2018-11-06;3533
2018-11-07;2337
2018-11-08;4736
2018-11-09;5941
2018-11-10;6701
2018-11-11;7086
2018-11-12;6324
2018-11-13;8853
2018-11-14;7832
2018-11-15;7862
2018-11-16;5912
2018-11-17;10594
2018-11-18;9792
2018-11-19;6553
2018-11-20;9621
2018-11-21;8052
2018-11-22;7197
2018-11-23;3081
2018-11-24;1582
2018-11-25;2612
2018-11-26;1740
2018-11-27;1153
2018-11-28;1434
2018-11-29;1171
2018-11-30;740
2018-12-01;501
2018-12-02;416
2018-12-03;692
2018-12-04;961
2018-12-05;957
2018-12-06;1190
2018-12-07;1144
2018-12-08;1345
2018-12-09;879
2018-12-10;1059
2018-12-11;1643
2018-12-12;1779
2018-12-13;2056
2018-12-14;2666
2018-12-15;1988
2018-12-16;1485
2018-12-17;2523
2018-12-18;2336
2018-12-19;3301
2018-12-20;3391
2018-12-21;3130
2018-12-22;2386
2018-12-23;734
2018-12-24;669
2018-12-25;769
2018-12-26;1418
2018-12-27;4054
2018-12-28;5492
2018-12-29;2239
2018-12-30;1641
2018-12-31;1127
2019-01-01;1329
2019-01-02;3275
2019-01-03;4613
2019-01-04;5905
2019-01-05;3236
2019-01-06;639
2019-01-07;799
2019-01-08;1050
2019-01-09;1764
2019-01-10;1150
2019-01-11;991
2019-01-12;1129
2019-01-13;1485
2019-01-14;1716
2019-01-15;2220
2019-01-16;2076
2019-01-17;2949
2019-01-18;1894
2019-01-19;1217
2019-01-20;1140
2019-01-21;1817
2019-01-22;2472
2019-01-23;2151
2019-01-24;1925
2019-01-25;1470
2019-01-26;2158
2019-01-27;1427
2019-01-28;1731
2019-01-29;2084
2019-01-30;3520
2019-01-31;3256
2019-02-01;3636
2019-02-02;2254
2019-02-03;2124
2019-02-04;2159
2019-02-05;1901
2019-02-06;1385
2019-02-07;1658
2019-02-08;2026
2019-02-09;1625
2019-02-10;1287
2019-02-11;2357
2019-02-12;1950
2019-02-13;1018
2019-02-14;764
2019-02-15;1080
2019-02-16;995
2019-02-17;1313
2019-02-18;1359
2019-02-19;971
2019-02-20;1479
2019-02-21;1962
2019-02-22;1851
2019-02-23;3506
2019-02-24;3787
2019-02-25;3452
2019-02-26;2552
2019-02-27;1780
2019-02-28;2657
2019-03-01;2774
2019-03-02;2555
2019-03-03;2863
2019-03-04;3703
2019-03-05;2887
2019-03-06;2664
2019-03-07;3186
